studyName,Sample Number,Region,Island,Stage,Individual ID,Clutch Completion,Date Egg,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex,Delta 15 N (o/oo),Delta 13 C (o/oo),Comments,Species
PAL0809,81,Anvers,Torgersen,"Adult, 1 Egg Stage",N39A2,Yes,11/2/08,42.9,17.6,196.0,4700.0,MALE,8.63259,-26.23027,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
PAL0809,82,Anvers,Dream,"Adult, 1 Egg Stage",N40A1,Yes,11/7/08,36.7,18.8,187.0,3800.0,FEMALE,7.88494,-26.24837,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
PAL0809,83,Anvers,Torgersen,"Adult, 1 Egg Stage",N40A2,Yes,11/7/08,35.1,19.4,193.0,4200.0,MALE,8.799865,-26.46254,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
PAL0809,84,Anvers,Dream,"Adult, 1 Egg Stage",N41A1,Yes,11/17/08,37.3,17.8,191.0,3350.0,FEMALE,8.32718,-26.38396,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
PAL0809,85,Anvers,Dream,"Adult, 1 Egg Stage",N41A2,Yes,11/17/08,41.3,20.3,194.0,3550.0,MALE,9.14863,-26.09635,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
PAL0809,86,Anvers,Dream,"Adult, 1 Egg Stage",N42A1,Yes,11/8/08,36.3,19.5,190.0,3800.0,MALE,8.57087,-26.22227,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
PAL0809,87,Anvers,Dream,"Adult, 1 Egg Stage",N42A2,Yes,11/8/08,36.9,18.6,189.0,3500.0,FEMALE,8.59147,-26.08165,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
PAL0809,88,Anvers,Dream,"Adult, 1 Egg Stage",N44A1,Yes,11/8/08,38.3,19.2,189.0,3950.0,MALE,9.07826,-26.12417,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
PAL0809,89,Anvers,Dream,"Adult, 1 Egg Stage",N44A2,Yes,11/8/08,38.9,18.8,190.0,3600.0,FEMALE,8.36936,-26.11199,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
PAL0809,90,Anvers,Dream,"Adult, 1 Egg Stage",N45A1,Yes,11/14/08,35.7,18.0,202.0,3550.0,FEMALE,8.46531,-26.05621,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
PAL0809,91,Anvers,Dream,"Adult, 1 Egg Stage",N45A2,Yes,11/14/08,41.1,18.1,205.0,4300.0,MALE,8.77018,-25.83352,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
PAL0809,92,Anvers,Dream,"Adult, 1 Egg Stage",N46A1,Yes,11/5/08,34.0,17.1,185.0,3400.0,FEMALE,8.01485,-26.69543,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
PAL0809,93,Anvers,Dream,"Adult, 1 Egg Stage",N46A2,Yes,11/5/08,39.6,18.1,186.0,4450.0,MALE,8.49915,-26.42406,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
PAL0809,94,Anvers,Dream,"Adult, 1 Egg Stage",Unknown_ID,Yes,11/17/08,36.2,17.3,187.0,3300.0,FEMALE,8.90723,-26.30037,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
PAL0809,95,Anvers,Dream,"Adult, 1 Egg Stage",N48A2,Yes,11/17/08,40.8,18.9,208.0,4300.0,MALE,8.48204,-26.57941,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
PAL0809,96,Anvers,Dream,"Adult, 1 Egg Stage",N49A1,Yes,11/8/08,38.1,18.6,190.0,3700.0,FEMALE,8.10277,-26.50086,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
PAL0809,97,Anvers,Dream,"Adult, 1 Egg Stage",N49A2,Yes,11/8/08,40.3,18.5,196.0,4350.0,MALE,8.39459,-26.01152,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
PAL0809,98,Anvers,Dream,"Adult, 1 Egg Stage",N50A1,Yes,11/10/08,33.1,16.1,178.0,2900.0,FEMALE,9.04218,-26.15775,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
PAL0809,99,Anvers,Dream,"Adult, 1 Egg Stage",N50A2,Yes,11/10/08,43.2,18.5,192.0,4100.0,MALE,8.97025,-26.03679,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
PAL0910,100,Anvers,Dream,"Adult, 1 Egg Stage",N47A1,Yes,11/9/09,35.0,17.9,192.0,3725.0,FEMALE,8.84451,-26.28055,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
PAL0910,101,Anvers,Biscoe,"Adult, 1 Egg Stage",N47A2,Yes,11/9/09,41.0,20.0,203.0,4725.0,MALE,9.01079,-26.38085,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
PAL0910,102,Anvers,Biscoe,"Adult, 1 Egg Stage",N49A1,Yes,11/15/09,37.7,16.0,183.0,3075.0,FEMALE,9.2151,-26.2253,No Comments,Adelie Penguin (Pygoscelis adeliae)
PAL0910,103,Anvers,Biscoe,"Adult, 1 Egg Stage",N49A2,Yes,11/15/09,37.8,20.0,190.0,4250.0,MALE,9.51929,-25.69199,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
PAL0910,104,Anvers,Biscoe,"Adult, 1 Egg Stage",N51A1,Yes,11/15/09,37.9,18.6,193.0,2925.0,FEMALE,9.02642,-25.86482,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
PAL0910,105,Anvers,Biscoe,"Adult, 1 Egg Stage",N51A2,Yes,11/15/09,39.7,18.9,184.0,3550.0,MALE,8.85699,-25.80208,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
PAL0910,106,Anvers,Biscoe,"Adult, 1 Egg Stage",N53A1,Yes,11/15/09,38.6,17.2,199.0,3750.0,FEMALE,8.77322,-26.48973,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
PAL0910,107,Anvers,Biscoe,"Adult, 1 Egg Stage",N53A2,Yes,11/15/09,38.2,20.0,190.0,3900.0,MALE,9.59245,-25.70711,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
PAL0910,108,Anvers,Biscoe,"Adult, 1 Egg Stage",N55A1,Yes,11/20/09,38.1,17.0,181.0,3175.0,FEMALE,9.79532,-25.27385,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
PAL0910,109,Anvers,Biscoe,"Adult, 1 Egg Stage",N55A2,Yes,11/20/09,43.2,19.0,197.0,4775.0,MALE,9.31735,-25.45171,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
PAL0910,110,Anvers,Biscoe,"Adult, 1 Egg Stage",N58A1,Yes,11/12/09,38.1,16.5,198.0,3825.0,MALE,8.43951,-26.57563,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
PAL0910,111,Anvers,Biscoe,"Adult, 1 Egg Stage",Unknown_ID,Yes,11/12/09,45.6,20.3,191.0,4600.0,MALE,8.799865,-26.32909,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
PAL0910,112,Anvers,Biscoe,"Adult, 1 Egg Stage",N60A1,Yes,11/15/09,39.7,17.7,193.0,3200.0,FEMALE,9.02657,-26.06203,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
PAL0910,113,Anvers,Biscoe,"Adult, 1 Egg Stage",N60A2,Yes,11/15/09,42.2,19.5,197.0,4275.0,MALE,8.80186,-26.41218,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
PAL0910,114,Anvers,Biscoe,"Adult, 1 Egg Stage",N61A1,Yes,11/17/09,39.6,20.7,191.0,3900.0,FEMALE,8.80967,-26.78958,No Comments,Adelie Penguin (Pygoscelis adeliae)
PAL0910,115,Anvers,Biscoe,"Adult, 1 Egg Stage",N61A2,Yes,11/17/09,42.7,18.3,196.0,4075.0,MALE,8.91434,-26.42018,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
PAL0910,116,Anvers,Torgersen,"Adult, 1 Egg Stage",N63A1,Yes,11/18/09,38.6,17.0,188.0,2900.0,MALE,9.18021,-25.77264,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
PAL0910,117,Anvers,Torgersen,"Adult, 1 Egg Stage",N63A2,Yes,11/18/09,37.3,20.5,199.0,3775.0,MALE,9.49645,-26.36678,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
PAL0910,118,Anvers,Torgersen,"Adult, 1 Egg Stage",N64A1,Yes,11/22/09,35.7,17.0,189.0,3350.0,FEMALE,8.96436,-23.90309,No Comments,Adelie Penguin (Pygoscelis adeliae)
